# ASY method (with partition functions). 
# All double quantities are log10(x); rates in units of s^-1
#
#  t          dt   2/Rmin Reaction_Rmin       2/Rmax   Reaction_Rmax     dt_FE    dt_EA  trial_dt   interpT   interpRho
 1.1710  0.1710     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.1296  0.1710 7.3979e+00 2.0000e+00
 1.2538  0.2538     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.2124  0.2538 7.3979e+00 2.0000e+00
 1.2951  0.2951     inf p+li6-->he3+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.2538  0.2951 7.3979e+00 2.0000e+00
 1.3779  0.3779     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.3365  0.3779 7.3979e+00 2.0000e+00
 1.4193  0.4193     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.3779  0.4193 7.3979e+00 2.0000e+00
 1.5021  0.5021     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.4607  0.5021 7.3979e+00 2.0000e+00
 1.5435  0.5435     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.5021  0.5435 7.3979e+00 2.0000e+00
 1.6263  0.6263     inf he4+cr49-->p+mn52 -0.2524 co54-->fe54+e++nu 24.4466  0.5849  0.6263 7.3979e+00 2.0000e+00
 1.6677  0.6677     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.6263  0.6677 7.3979e+00 2.0000e+00
 1.7505  0.7505     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.7091  0.7505 7.3979e+00 2.0000e+00
 1.7919  0.7919     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.7505  0.7919 7.3979e+00 2.0000e+00
 1.8746  0.8746     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.8333  0.8746 7.3979e+00 2.0000e+00
 1.9160  0.9160     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.8746  0.9160 7.3979e+00 2.0000e+00
 1.9574  0.9574     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.9160  0.9574 7.3979e+00 2.0000e+00
 2.0402  1.0402     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  0.9988  1.0402 7.3979e+00 2.0000e+00
 2.0816  1.0816     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.0402  1.0816 7.3979e+00 2.0000e+00
 2.1644  1.1644     inf be9-->n+he4+he4 -0.2524 co54-->fe54+e++nu 24.4466  1.1230  1.1644 7.3979e+00 2.0000e+00
