Wed Feb 12 12:42:44 2025
*** ADD RG 127 Steps=234 RGeq=58 t=3.4644e-11 logt=-1.0460e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=238 RGeq=59 t=5.0722e-11 logt=-1.0295e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=243 RGeq=60 t=8.1688e-11 logt=-1.0088e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=244 RGeq=61 t=8.9857e-11 logt=-1.0046e+01 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=251 RGeq=62 t=1.7510e-10 logt=-9.7567e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=257 RGeq=63 t=3.1021e-10 logt=-9.5083e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=263 RGeq=62 t=5.4955e-10 logt=-9.2600e+00 devious=2.1023e-01 Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=265 RGeq=63 t=6.6496e-10 logt=-9.1772e+00 devious=2.5438e-01 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=266 RGeq=62 t=7.3146e-10 logt=-9.1358e+00 devious=2.7982e-01 Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=269 RGeq=63 t=9.7357e-10 logt=-9.0116e+00 devious=3.7244e-01 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=270 RGeq=62 t=1.0709e-09 logt=-8.9702e+00 devious=4.0968e-01 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=274 RGeq=63 t=1.5679e-09 logt=-8.8047e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=279 RGeq=64 t=2.5252e-09 logt=-8.5977e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=280 RGeq=65 t=2.7777e-09 logt=-8.5563e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=287 RGeq=66 t=5.4130e-09 logt=-8.2666e+00 devious=2.0707e+00 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=288 RGeq=65 t=5.9543e-09 logt=-8.2252e+00 devious=2.2778e+00 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=288 RGeq=66 t=5.9543e-09 logt=-8.2252e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=289 RGeq=67 t=6.5497e-09 logt=-8.1838e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=290 RGeq=68 t=7.2047e-09 logt=-8.1424e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=291 RGeq=69 t=7.9251e-09 logt=-8.1010e+00 devious=3.0318e+00 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=292 RGeq=68 t=8.7176e-09 logt=-8.0596e+00 devious=3.3349e+00 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=292 RGeq=69 t=8.7176e-09 logt=-8.0596e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=293 RGeq=70 t=9.5894e-09 logt=-8.0182e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=300 RGeq=71 t=1.8687e-08 logt=-7.7285e+00 devious=7.1487e+00 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=301 RGeq=70 t=2.0556e-08 logt=-7.6871e+00 devious=7.8636e+00 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=301 RGeq=71 t=2.0556e-08 logt=-7.6871e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=303 RGeq=72 t=2.4872e-08 logt=-7.6043e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=309 RGeq=73 t=4.4063e-08 logt=-7.3559e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=310 RGeq=74 t=4.8469e-08 logt=-7.3145e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=318 RGeq=75 t=1.0390e-07 logt=-6.9834e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=330 RGeq=76 t=3.2608e-07 logt=-6.4867e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=334 RGeq=77 t=4.7741e-07 logt=-6.3211e+00 devious=1.8263e+02 Rmin=0.0000 Rmax=0.0000
*** REMOVE RG 107 where=1 Steps=335 RGeq=76 t=5.2515e-07 logt=-6.2797e+00 devious=2.0090e+02 Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=339 RGeq=77 t=7.6887e-07 logt=-6.1141e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=340 RGeq=78 t=8.4576e-07 logt=-6.0728e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 127 Steps=341 RGeq=79 t=9.3034e-07 logt=-6.0314e+00 devious=   nan Rmin=0.0000 Rmax=0.0000
*** ADD RG 107 Steps=343 RGeq=80 t=1.1257e-06 logt=-5.9486e+00 devious=4.3064e+02 Rmin=0.0000 Rmax=0.0000
